TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
AALR3;9,01;0,97;-10,94;0,87;0,42;17,80;-0,98;-10,49;-116,83;-179,64;-61,90;0,46;1,15;11,53;-0,54;1,19;-7,96;-3,83;-1,41;0,48;0,52;0,37;5,83;;7.518.776,96;10,34;-0,82;0,03;1.074.098.769,28
ABCB4;14,51;4,89;9,95;0,75;0,07;1,96;-1,80;5,46;-30,19;-30,10;;;0,54;0,74;-0,09;3,23;7,51;0,74;;0,10;0,90;0,14;1,17;-2,60;12.115.532,04;19,41;1,46;-0,28;3.196.290.845,49
ABEV3;15,19;3,22;21,05;3,19;1,91;53,64;27,29;19,49;15,04;14,13;-0,88;-0,19;4,10;128,47;-2,67;1,06;15,14;9,09;17,72;0,60;0,40;0,47;4,56;-1,85;355.924.370,60;4,77;0,72;-6,19;239.079.105.757,38
ADHM3;1,56;;-4,09;-1,29;105,12;100,00;-13.548,48;-18.860,61;-5,69;-5,69;0,00;;770,90;-1,43;-116,16;0,00;-31,47;-2.571,90;22,61;-81,72;82,72;0,14;;;94.201,44;-1,21;-0,38;-0,58;25.439.770,20
AERI3;8,46;;57,26;6,71;2,73;11,13;9,30;5,13;31,55;33,93;2,23;0,47;2,93;8,94;-9,22;1,77;11,72;4,78;9,41;0,41;0,59;0,93;;;38.989.669,08;1,26;0,15;2,08;6.512.814.376,00
AESB3;16,67;;;13.330.157,77;13.330.157,77;;;;;;;-1,00;;13.330.157,77;;;0,00;0,00;;1,00;0,00;0,00;;;26.584.441,64;0,00;0,00;;6.681.043.144,80
AFLT3;9,27;7,80;31,26;3,12;2,81;64,85;53,36;52,07;30,50;28,32;-1,59;-0,16;16,28;12,15;-3,83;7,91;9,98;9,00;9,27;0,90;0,10;0,17;5,56;8,17;14.318,44;2,97;0,30;-1,21;573.439.923,00
AGRO3;23,71;2,99;9,97;1,74;0,95;30,80;22,06;24,23;10,95;13,75;2,79;0,44;2,42;8,03;-1,39;1,61;17,40;9,55;9,06;0,55;0,45;0,39;13,49;-7,94;10.688.816,24;13,66;2,38;0,97;1.949.156.105,74
AHEB3;21,90;;-7,82;51,80;0,62;26,77;-5,66;-11,20;-15,48;-11,33;4,21;-14,09;0,88;-5,85;-0,85;0,72;-662,49;-7,88;-334,66;0,01;0,99;0,70;1,88;;8.601,50;0,42;-2,80;0,18;187.804.965,30
AHEB5;20,01;;-7,14;47,33;0,56;26,77;-5,66;-11,20;-14,14;-11,33;4,21;-14,09;0,80;-5,34;-0,77;0,72;-662,49;-7,88;-334,66;0,01;0,99;0,70;1,88;;4.500,00;0,42;-2,80;0,16;187.804.965,30
AHEB6;27,00;;-9,64;63,87;0,76;26,77;-5,66;-11,20;-19,08;-11,33;4,21;-14,09;1,08;-7,21;-1,04;0,72;-662,49;-7,88;-334,66;0,01;0,99;0,70;1,88;;5.400,00;0,42;-2,80;0,22;187.804.965,30
ALPA3;32,28;;133,81;6,21;3,90;52,34;8,15;4,17;68,39;71,84;-1,64;-0,15;5,58;13,38;-8,79;2,10;4,64;2,91;8,16;0,63;0,37;0,70;-3,59;-13,58;46.151,16;5,13;0,24;-2,74;20.152.415.439,07
ALPA4;36,65;;153,73;7,14;4,48;52,34;8,15;4,17;78,58;71,84;-1,64;-0,15;6,41;15,37;-10,09;2,10;4,64;2,91;8,16;0,63;0,37;0,70;-3,59;-13,58;52.417.322,52;5,13;0,24;-3,15;20.152.415.439,07
ALPK3;8,04;;-9,11;2,27;0,58;25,38;1,26;-26,33;190,20;363,88;175,57;2,09;2,40;-2,56;-0,62;0,25;-24,89;-6,34;0,30;0,25;0,75;0,24;;;250.537,92;3,55;-0,88;-0,03;1.542.418.003,76
ALSO3;27,47;;43,18;0,96;0,67;66,20;40,15;21,20;22,80;18,63;-4,32;-0,18;9,15;5,12;-0,81;4,37;2,22;1,55;3,37;0,70;0,30;0,07;19,22;-0,15;37.724.277,80;28,66;0,64;0,06;7.351.275.039,48
ALUP11;25,94;2,66;8,07;0,85;0,34;56,04;54,04;15,34;2,29;4,40;2,09;0,77;1,24;4,24;-0,41;1,78;10,53;4,17;14,02;0,40;0,60;0,27;32,68;29,19;17.063.353,60;30,52;3,21;1,39;7.657.059.152,99
ALUP3;8,75;2,63;8,17;0,86;0,34;56,04;54,04;15,34;2,32;4,40;2,09;0,77;1,25;4,29;-0,42;1,78;10,53;4,17;14,02;0,40;0,60;0,27;32,68;29,19;89.296,88;10,17;1,07;1,40;7.657.059.152,99
ALUP4;8,61;2,66;8,07;0,85;0,34;56,04;54,04;15,34;2,29;4,40;2,09;0,77;1,24;4,24;-0,41;1,78;10,53;4,17;14,02;0,40;0,60;0,27;32,68;29,19;152.547,04;10,17;1,07;1,39;7.657.059.152,99
AMAR3;5,46;;;1,44;0,42;37,31;-13,69;0,00;-4,87;-8,02;-3,14;0,93;0,67;4,40;-0,90;1,22;0,00;0,00;-12,12;0,29;0,71;0,64;-7,53;;19.787.679,44;3,79;0,00;;1.428.700.394,94
AMBP3;25,92;;65,71;2,40;1,79;22,63;18,40;6,39;22,81;19,86;-2,98;-0,31;4,20;4,20;-3,79;5,23;3,66;2,73;7,27;0,75;0,25;0,43;;;8.103.034,08;10,85;0,40;1,55;2.948.748.202,68
ANDG3B;28,82;;59,95;2,23;1,88;47,12;179,06;45,82;15,34;8,60;0,93;0,13;27,47;-25,32;-1,93;0,26;3,71;3,14;12,68;0,85;0,15;0,07;10,22;-23,32;;12,94;0,48;-0,78;1.651.867.985,68
ANDG4B;0,00;;0,00;0,00;0,00;47,12;179,06;45,82;0,00;8,60;0,93;0,13;0,00;0,00;0,00;0,26;3,71;3,14;12,68;0,85;0,15;0,07;10,22;-23,32;;12,94;0,48;0,00;1.651.867.985,68
ANIM3;10,60;;-104,14;1,69;0,93;51,80;8,31;-2,89;36,22;36,35;0,33;0,02;3,01;2,57;-1,73;4,78;-1,63;-0,90;2,96;0,55;0,45;0,31;11,24;;31.017.823,96;6,26;-0,10;-0,32;4.256.777.204,70
APER3;52,09;0,10;-860,18;3,36;1,99;100,00;-3,21;-0,67;-178,95;-167,65;13,33;-0,25;5,74;21,05;-2,62;1,64;-0,39;-0,23;-2,91;0,59;0,41;0,35;-11,42;;4.165.811,24;15,49;-0,06;6,73;603.740.247,06
