TICKER;PRECO;DY;P/VP;LIQUIDEZ MEDIA DIARIA;PERCENTUAL EM CAIXA;CAGR DIVIDENDOS 3 ANOS; CAGR VALOR CORA 3 ANOS;PATRIMONIO;N COTISTAS;GESTAO
NEWL11;93,55;11,10;0,80;307.671,15;4,77;;;236.517.865,90;1.855,00;Ativa;
ROOF11;0,00;0,00;;;27,23;;;75.694.412,29;33,00;Ativa;
SDIL11;84,61;8,83;0,84;1.298.213,60;0,39;-0,62;-3,85;643.428.354,87;50.332,00;Ativa;
VSHO11;82,89;4,98;0,82;61.323,30;2,38;;;212.490.694,80;1.963,00;Ativa;
BBPO11;89,29;13,72;0,93;2.299.292,05;4,80;-0,40;-13,51;1.526.344.263,71;65.170,00;Passiva;
EDFO11B;219,97;7,59;1,04;33.931,50;1,29;-7,83;-6,60;50.101.171,40;573,00;Passiva;
STRX11;8,52;4.925,72;0,05;;0,65;;;296.115.988,08;53,00;Passiva;
CXTL11;373,13;4,39;0,59;8.651,35;0,64;14,63;-10,07;34.049.481,78;704,00;Passiva;
BMII11;0,00;0,00;;;0,29;;;68.758.527,26;12,00;Ativa;
THRA11;138,50;34,75;14,52;53.642,50;140,47;90,73;8,98;14.050.683,35;2.084,00;Passiva;
XBXO11;0,00;0,00;;;4,93;;;294.701.259,40;1,00;Ativa;
XTED11;6,55;0,00;0,48;6.245,25;0,89;;-28,21;26.189.496,52;4.754,00;Ativa;
IFIE11;74,11;6,07;0,90;24.260,25;1,88;;;73.982.011,03;5.807,00;Passiva;
TRNT11;117,02;4,31;0,57;11.252,89;0,41;-15,40;-12,72;814.574.293,68;826,00;Passiva;
OUJP11;88,24;10,70;0,85;676.515,95;15,64;-3,60;-4,04;335.731.048,67;20.818,00;Ativa;
RECX11;90,00;5,94;1,02;12.593,74;6,04;;;17.476.772,13;432,00;Ativa;
BTAL11;92,55;4,87;0,90;962.824,40;16,60;;;612.337.743,99;12.186,00;Ativa;
RNGO11;56,60;8,29;0,56;146.133,85;1,80;-7,37;-11,73;271.301.134,06;15.821,00;Passiva;
LVBI11;97,51;6,78;0,85;2.096.506,75;7,91;;;1.350.783.017,73;38.255,00;Ativa;
TCPF11;1,26;1.242,06;0,01;;6,55;;;32.416.853,73;52,00;Ativa;
BICR11;98,35;4,13;0,99;705,94;20,88;;;49.651.973,04;574,00;Ativa;
ATSA11;98,97;0,00;1,00;1.556,87;1,06;;-0,33;172.593.204,98;255,00;Passiva;
LOFT11B;29,90;1,97;0,35;2.138,00;25,67;;;167.387.880,46;1,00;Ativa;
CPTS11;98,04;12,36;1,04;8.473.423,35;6,28;10,55;-1,59;2.427.021.347,40;120.287,00;Ativa;
RBCB11;19,00;0,00;;;;-15,04;-55,86;0,00;462,00;Ativa;
RBHY11;100,00;9,65;1,00;75.049,95;21,69;;;157.390.052,11;1.586,00;Ativa;
QAGR11;50,33;10,31;0,84;679.070,55;0,63;;;301.127.070,71;18.827,00;Ativa;
RBED11;127,40;9,70;0,85;173.620,65;4,44;-3,18;-5,92;303.735.320,76;12.016,00;Ativa;
RBLG11;97,00;5,03;0,90;5.314,67;2,72;;;69.312.980,95;95,00;Ativa;
AFCR11;104,43;12,67;1,02;397.984,35;18,05;;;154.887.871,20;2.935,00;Ativa;
SPAF11;0,00;0,00;;;5,02;;;11.328.431,99;1,00;Ativa;
RBVA11;99,24;11,13;0,88;1.145.922,25;0,24;1,11;-3,19;1.313.544.384,58;42.452,00;Ativa;
TORM13;666,41;13,70;0,35;666,00;71,27;;;68.738.427,34;275,00;Ativa;
NSLU11;218,81;10,14;1,02;210.959,65;1,96;4,14;-2,35;244.412.520,11;7.603,00;Passiva;
SPTW11;39,55;38,48;0,76;295.825,25;5,37;27,63;-18,74;93.337.126,32;19.983,00;Passiva;
BPML11;83,30;2,79;0,63;9.201,75;4,67;;;570.969.878,72;1.358,00;Passiva;
RBRY11;101,50;9,31;0,98;705.152,55;13,05;;;351.571.448,21;11.156,00;Ativa;
ALMI11;1.035,00;0,00;0,50;57.320,80;1,85;;-7,08;228.908.585,35;3.297,00;Passiva;
SPVJ11;0,00;0,00;;;8,84;;;593.591.883,14;27,00;Ativa;
TGAR11;119,91;11,80;0,93;3.506.855,05;20,39;10,63;-0,45;1.461.093.085,94;78.835,00;Ativa;
VSLH11;10,19;10,96;1,03;1.754.527,90;2,17;;;262.404.474,04;29.639,00;Ativa;
AQLL11;385,03;0,00;0,44;641,83;0,00;;;86.010.244,39;37,00;Ativa;
WTSP11B;50,00;4,90;0,63;1.080,00;1,84;-21,24;;79.016.416,25;200,00;Ativa;
VISC11;99,25;5,64;0,83;2.026.424,00;4,73;-10,23;-1,07;1.702.561.351,78;199.198,00;Ativa;
KNRE11;2,11;3,31;1,08;19.487,95;3,22;;-37,99;36.300.652,94;6.433,00;Ativa;
